policy,fold,val_start,val_end,val_return_pct,val_profit_factor,val_win_rate_pct,val_max_dd_pct,val_n_trades
ema_atr_trend,1,2021-09-17,2022-07-01,-17.892914944431336,0.6287735709436916,25.0,-18.63863138106542,156.0
ema_atr_trend,2,2022-08-11,2023-05-26,-16.816760251401554,0.669003682620042,27.67295597484277,-19.49899807541443,159.0
ema_atr_trend,3,2023-07-11,2024-04-23,-1.684089695511759,0.9679110709971365,34.883720930232556,-8.976191785510645,172.0
ema_atr_trend,4,2024-06-03,2025-03-21,-5.877413453449442,0.8744631931893586,29.11392405063291,-10.39975880618812,158.0
ema_atr_trend,5,2025-05-01,2026-01-30,1.7769389807978264,1.0407218123031017,31.360946745562128,-12.68181264395004,169.0
selected_trend_hold,1,2021-09-17,2022-07-01,-9.161960241156997,0.7219271009811355,21.25,-9.937711749790711,80.0
selected_trend_hold,2,2022-08-11,2023-05-26,5.166173638502358,1.1801169438954224,32.0,-4.9469569920068235,75.0
selected_trend_hold,3,2023-07-11,2024-04-23,8.180961098102024,1.3040494839264,32.87671232876712,-5.685070075156018,73.0
selected_trend_hold,4,2024-06-03,2025-03-21,7.397092173446285,1.2643939172159167,32.467532467532465,-4.533762891651271,77.0
selected_trend_hold,5,2025-05-01,2026-01-30,8.552151886942783,1.3857238487925763,32.30769230769231,-10.268414139671677,65.0
