threshold_atr,sl_idx,tp_idx,selection_score,train_initial_equity,train_final_equity,train_total_return_pct,train_annualized_return_pct,train_max_drawdown_pct,train_sharpe_like,train_sortino_ratio,train_calmar_ratio,train_n_equity_points,train_n_trades,train_win_rate_pct,train_profit_factor,train_avg_r,train_median_r,train_avg_bars_in_trade,val_initial_equity,val_final_equity,val_total_return_pct,val_annualized_return_pct,val_max_drawdown_pct,val_sharpe_like,val_sortino_ratio,val_calmar_ratio,val_n_equity_points,val_n_trades,val_win_rate_pct,val_profit_factor,val_avg_r,val_median_r,val_avg_bars_in_trade
0.3,2,3,111.5196581419776,10000.0,10264.526990786722,2.6452699078672204,0.5196626377094393,-16.138357066020603,0.10382373920320909,0.2384573588783819,0.032200467221263296,8251.0,438.0,27.85388127853881,1.017128351890893,0.01966682087730217,-1.083140497445409,14.515981735159817,10000.0,11401.975450547518,14.019754505475168,38.83333308565056,-2.7176836089507606,3.6017944603005585,7.722480846116113,14.289129521093617,655.0,29.0,48.275862068965516,2.7231008607975764,0.9165743828645779,-0.21847553282571489,19.24137931034483
0.7,2,3,94.80686254954354,10000.0,9635.673752950794,-3.643262470492059,-0.7340622827789023,-18.25751050855614,-0.05399528542904569,-0.17115743020241955,-0.04020604465405586,8251.0,404.0,27.475247524752476,0.9742782297418553,-0.010644129240514054,-1.085287676614815,14.990099009900991,10000.0,11344.15914426305,13.441591442630507,37.07952382305291,-3.1390082109462925,3.451531400647414,7.713120474173138,11.81249660123534,655.0,30.0,46.666666666666664,2.5254114294164234,0.8522090780298289,-0.6195417144752079,16.766666666666666
0.9,2,3,89.59858944401859,10000.0,9092.101939933204,-9.078980600667963,-1.8717669892255762,-22.68701139777307,-0.2076950046830385,-0.630676216523648,-0.08250390306628516,8251.0,388.0,26.804123711340207,0.9319124580800698,-0.04144669778713021,-1.0868147117686886,15.051546391752577,10000.0,11237.018425417893,12.370184254178929,33.86480121168991,-2.6313244745281406,3.3116812914757308,6.9100638201206275,12.869868972644538,655.0,28.0,46.42857142857143,2.519916210325536,0.8444243114932023,-0.6195443372425777,17.428571428571427
0.3,1,3,87.03466944275328,10000.0,10217.566029997328,2.17566029997327,0.4281978212227866,-19.371673487969364,0.09253133387394255,0.4719299042132541,0.022104327821172276,8251.0,630.0,28.730158730158728,1.0095539446182238,0.014959578693792636,-1.1132530026598118,8.995238095238095,10000.0,11895.627068291518,18.95627068291519,54.35684697863166,-2.1750196913801534,3.8735573413357067,86.11955602683177,24.991427523187,655.0,46.0,45.65217391304348,2.2778650905131648,0.7659797258300343,-1.0287581575953613,10.782608695652174
0.5,2,3,80.98303324981025,10000.0,10200.80444949483,2.008044494948291,0.39547006839546484,-17.678722401519043,0.08903489768383925,0.21329617061697126,0.022369833035077474,8251.0,413.0,28.087167070217916,1.0137924955092288,0.017455605821786506,-1.0843027565218932,15.157384987893462,10000.0,11224.340321899605,12.24340321899604,33.48742507932152,-3.308689531056619,3.1382142851448123,7.458860770344535,10.121053899133118,655.0,32.0,43.75,2.242437489497909,0.7327574705119454,-1.0224396796620967,16.15625
0.7,1,3,65.25165328837213,10000.0,8876.13575764416,-11.238642423558398,-2.3389602408543597,-23.79906392326626,-0.19530983752444434,-1.3222591680873186,-0.09827950579887149,8251.0,594.0,27.609427609427613,0.9471537322143843,-0.03218146733812078,-1.114526147342914,8.816498316498317,10000.0,11665.400346346783,16.654003463467838,46.99419642365159,-3.764067365482404,3.5059183315347715,91.70344189487692,12.484950948169015,655.0,46.0,43.47826086956522,2.08021792313814,0.6805823414346197,-1.029648455444408,9.282608695652174
0.5,1,3,64.216871567526,10000.0,9120.836713532573,-8.79163286467427,-1.8102782720925026,-23.6444062822329,-0.13461815821733916,-0.9627856148799583,-0.07656264447852931,8251.0,617.0,27.876823338735818,0.9600753104794167,-0.021825232594812054,-1.1137732929871789,8.824959481361427,10000.0,11710.524938390281,17.10524938390281,48.420283420580624,-3.1959667473402953,3.4995650739767905,79.65155903071992,15.150434046560811,655.0,49.0,42.857142857142854,2.0318533050700283,0.6552377157466444,-1.0301002954669767,9.16326530612245
0.9,1,3,62.50531288759653,10000.0,8782.973991885528,-12.170260081144713,-2.543311264602588,-25.540362811774575,-0.22534683492656968,-1.5812102929848417,-0.09958007579399282,8251.0,564.0,27.482269503546096,0.9389622556379043,-0.03807195171654398,-1.1145323001219967,8.842198581560284,10000.0,11556.409636918412,15.56409636918412,43.58374476253768,-3.2527540360512086,3.375996920072723,83.73077666545542,13.399028724424442,655.0,44.0,43.18181818181818,2.058640304326882,0.668293680881396,-1.0296510254742413,9.5
0.3,2,2,53.04031523908442,10000.0,8312.589420693135,-16.87410579306865,-3.6024614549795775,-25.37771643696477,-0.44768270904306723,-1.2864901699023312,-0.14195372794584032,8251.0,566.0,34.45229681978799,0.8996039592947275,-0.06026601489015283,-1.0766679500338285,10.316254416961131,10000.0,11087.120806214874,10.87120806214874,29.443772639947795,-2.6955014134880773,3.302235114641937,6.947490048974102,10.923300760523986,655.0,41.0,51.21951219512195,2.003752853382554,0.509526238657253,1.9035217479373605,12.926829268292684
0.7,2,2,51.957064869256406,10000.0,8278.843121084421,-17.211568789155784,-3.680277789892117,-25.738100724579393,-0.47842826400723465,-2.269180312104672,-0.14298948587055307,8251.0,525.0,34.476190476190474,0.890985121628297,-0.06687534984076093,-1.0804939825947364,10.508571428571429,10000.0,11139.10363908556,11.391036390855614,30.966847947391884,-3.270448036373974,3.3729803754316894,7.475811530830042,9.468686737406655,655.0,43.0,51.162790697674424,1.9905340493864585,0.5078619385122255,1.9035228416029852,10.883720930232558
